Merk,Model,Harga,Tahun Produksi,Jarak Tempuh,Jenis,Transmisi,Kondisi Motor,Mesin,Klaster
Yamaha,Aerox 155 VA,19000000,2019,7000,Skuter,Automatic,"kondisi mesin bagus, oli baru, tires condition 90%, full orisinil, kilometer rendah, motor perawatan jarang digunakan",155,1
Honda,All New Vario 125,17500000,2021,27000,Skuter,Automatic,"kondisi mesin bagus, tires 98% condition ( pirelli ) oli baru, BBM irit, minus lecet body pemakaian pribadi",125,0
Honda,Scoopy sporty Navy,13500000,2019,30000,Skuter,Automatic,"kondisi mesin bagus, oli baru, tires condition 90%, full orisinil, kelistrikan bagus minus sedikit lecet body pemakaian pribadi",110,0
Honda,Beat CBS Black,18200000,2023,33000,Skuter,Automatic,"Ban depan belakang bagus pajak hidup, kondisi mesin bagus, idling stop masih berfungsi",110,0
Honda,Genio,14500000,2023,34000,Skuter,Automatic,"Ban depan belekang bagus, kondisi mesin bagus, BBM irit, full orisinil, kelistrikan baik",110,0
Yamaha,N-Max Grey Dov,21000000,2019,16000,Skuter,Automatic,"Ban depan belakang bagus pajak hidup, kondisi mesin bagus, motor perawatan jarang digunakan",155,1
Yamaha,N-Max,22500000,2022,15000,Skuter,Automatic,"Ban depan botak, lecet pemakaian, kondisi mesin bagus, full orisinil",155,1
Honda,Scoopy sporty Red,17000000,2023,23000,Skuter,Automatic,"Ban depan botak, body bagus, full orisinil, kondisi mesin bagus",110,0
Honda,Vario 125 Red,14000000,2015,60000,Skuter,Automatic,"Ban depan belakang bagus, full orisinil, kondisi mesin bagus, BBM irit",125,0
Honda,PCX ABS Grey,29000000,2022,29000,Skuter,Automatic,"Bagasi besar, ban depan belakang bagus, kondisi mesin bagus, full orisinil",160,0
Yamaha,N-Max Navy,24000000,2022,13000,Skuter,Automatic,"Ban depan botak, lecet pemakaian, kondisi mesin bagus, full orisinil",155,0
Honda,PCX CBS Red,26000000,2022,35000,Skuter,Automatic,"Bagasi besar, ban depan belakang bagus, kondisi mesin bagus, full orisinil, body mulus, kelistrikan masih bagus",160,0
Honda,PCX ABS Red,27000000,2022,30000,Skuter,Automatic,"Bagasi besar, ban depan belakang bagus, kondisi mesin bagus, full orisinil, BBM irit, sistem keyless masih bagus",160,0
Honda,Scoopy stylish grey,15500000,2022,27000,Skuter,Automatic,"Ban depan belakang bagus, kondisi mesin bagus, full orisinil, body mulus, kelistrikan baik, idling masih berfungsi",110,0
Honda,PCX CBS White,24000000,2021,39000,Skuter,Automatic,"Ban depan, belakang bagus, kondisi mesin bagus, full orisinil,tires 90% condition, keyless masih berfungsi",160,0
Honda,Beat street black,16500000,2022,35000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit",110,0
Yamaha,Snax,36000000,2019,19000,Skuter,Automatic,"Kondisi mesin bagus dan berkapasitas tinggi, motor layak pakai, full orisinil, body juga mulus",250,1
Honda,Beat Deluxe White,16000000,2021,43000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit , smart key masih berfungsi, minus ban kurang bagus",110,0
Yamaha,Mio Ger,15000000,2022,17000,Skuter,Automatic,"Ban depan belakang bagus, kondisi mesin bagus, full orisinil, body mulus",125,1
Yamaha,Aerox Black,23500000,2022,14000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil",155,1
Yamaha,N-Max Black Dov,25000000,2023,13400,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil, body mulus, ban depan belakang bagus, bagasi besar",155,1
Honda,Scoopy Stylish red,12000000,2018,55000,Skuter,Automatic,"Ban depan belakang bagus,body mulus, full orisinil, kondisi mesin bagus, idling normal, kelistrikan baik",110,0
Honda,Scoopy sporty,13000000,2019,56000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil, ban depan belakang bagus, oli baru, idling normal",110,0
Honda,Scoopy Stylish White,12500000,2018,50000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil, ban depan belakang bagus, body mulus",110,0
Honda,Beat Deluxe White,15800000,2021,45000,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit, body mulus, smart key sistem masih berfungsi",110,0
Honda,CBR 150 Black,16000000,2019,45000,Sport,Kopling,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit, sistem pendingin mesin masih normal, harga terjangkau",150,3
Honda,CBR 150 Grey,14500000,2019,68000,Sport,Kopling,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit, ban depan belakang bagus, harga terjangkau",150,3
Yamaha,Aerox Silver,17500000,2018,15600,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil, ban depan belakang bagus, body mulus",155,1
Yamaha,Lexi Black,14500000,2021,14200,Skuter,Automatic,"Kondisi mesin bagus, motor layak pakai, full orisinil, kondisi mesin bagus",125,1
Honda,PCX CBS Grey,23500000,2020,48000,Skuter,Automatic,"Ban depan, belakang bagus, kondisi mesin bagus, full orisinil,tires 90% condition,smart key sistem berfungsi",160,0
Yamaha,N-Max Hitam,20500000,2020,35000,Skuter,Automatic,"Kondisi mesin bagus, kelistrikan aman, full orisinil ,oli baru, tires condition 100%, lampu LED masih terang",155,1
Honda,CBR 150 Red,15000000,2019,60000,Sport,Kopling,"Kondisi mesin bagus, motor layak pakai, full orisinil,BBM irit, harga terjangkau",150,3

